,Community Area Number,COMMUNITY AREA NAME,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PER CAPITA INCOME ,HARDSHIP INDEX,Grade ACT Attainment Percentile Grade 11,Teen Births 2009,Community Area_x,Average Infant Mortality Rate 2005 - 2009,2010 Life Expectancy,Community Area_y,Assault (Homicide),Below Poverty Level,Per Capita Income,No High School Diploma,Unemployment
59,60,Bridgeport,4.5,18.9,13.7,22.2,22694,43.0,,27,60,8.0,80.2,60,4.9,17.3,24969,25.6,11.2
60,61,New City,11.9,29.0,23.0,41.5,12765,91.0,7.0,197,61,7.9,74.4,61,26.6,30.6,12524,42.4,17.4
61,62,West Elsdon,11.1,15.6,16.7,37.0,15754,69.0,19.0,31,62,8.1,81.0,62,5.9,9.8,16938,39.6,13.5
62,63,Gage Park,15.8,23.4,18.2,51.5,12171,93.0,18.5,113,63,5.4,79.2,63,10.8,20.8,12014,54.1,14.0
63,64,Clearing,2.7,8.9,9.5,18.8,25113,29.0,,29,64,6.7,77.5,64,9.4,5.9,23920,18.5,9.6
64,65,West Lawn,5.8,14.9,9.6,33.6,16907,56.0,27.0,58,65,8.4,80.5,65,10.7,15.3,15898,33.4,7.8
65,66,Chicago Lawn,7.6,27.9,17.1,31.2,13231,80.0,,177,66,11.1,75.2,66,22.4,22.2,14405,31.6,11.9
66,67,West Englewood,4.8,34.4,35.9,26.3,11317,89.0,46.5,214,67,13.3,70.1,67,47.2,32.3,10559,30.3,34.7
67,68,Englewood,3.8,46.6,28.0,28.5,11888,94.0,18.0,168,68,13.4,70.7,68,45.1,42.2,11993,29.4,21.3
68,69,Greater Grand Crossing,3.6,29.6,23.0,16.5,17285,66.0,25.5,119,69,14.2,71.1,69,49.7,25.6,17213,17.9,18.9
69,70,Ashburn,4.0,10.4,11.7,17.7,23482,37.0,8.5,63,70,10.2,78.2,70,12.4,9.5,22078,18.3,8.8
70,71,Auburn Gresham,4.0,27.6,28.3,18.5,15528,74.0,13.25,180,71,15.6,72.6,71,37.6,24.5,16022,19.5,24.2
71,72,Beverly,0.9,5.1,8.0,3.7,39523,12.0,,8,72,10.0,80.5,72,3.5,5.2,40107,5.1,7.8
72,73,Washington Height,1.1,16.9,20.8,13.7,19713,48.0,9.333333333333334,72,73,11.2,74.9,73,38.0,15.7,19709,15.6,18.3
73,74,Mount Greenwood,1.0,3.4,8.7,4.3,34381,16.0,60.0,6,74,3.3,79.6,74,2.2,3.1,34221,4.5,6.9
74,75,Morgan Park,0.8,13.2,15.0,10.8,27149,30.0,18.5,45,75,13.1,75.3,75,19.9,13.7,26185,10.9,14.9
75,76,O'Hare,3.6,15.4,7.1,10.9,25828,24.0,,3,76,2.0,82.2,76,5.6,9.5,29402,11.0,4.7
76,77,Edgewater,4.1,18.2,9.2,9.7,33385,19.0,35.5,25,77,6.9,79.8,77,5.8,16.6,33364,9.0,9.0
